RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
7793631,P201401959,05/19/2020 11:57:00 AM,High,CD,ARSON,400 W FRANKLIN ST,21201,Seton Hill,Central,143,11,D7,Downtown/Seton Hill,Census Tract 401,,"400 W FRANKLIN ST
BALTIMORE, MD
(39.29488, -76.621476)"
3788155,P151810834,06/30/2015 09:13:00 AM,High,WD,ARSON,1900 HARLEM AV,21217,Midtown-Edmondson,Western,722,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1604,,"1900 HARLEM AV
BALTIMORE, MD
(39.296311, -76.647506)"
910111,P181050232,04/15/2018 01:43:00 AM,High,SW,ARSON,0 N ABINGTON AV,21229,Carroll-South Hilton,Southwestern,842,9,D10,Allendale/Irvington/S. Hilton,Census Tract 2006,,"0 N ABINGTON AV
BALTIMORE, MD"
3953549,P151262297,05/06/2015 06:22:00 PM,Medium,NW,ARSON,2800 DENISON ST,21216,Hanlon-Longwood,Northwestern,641,7,D9,Greater Mondawmin,Census Tract 1507.01,,"2800 DENISON ST
BALTIMORE, MD
(39.319911, -76.67474)"
2356839,P162991461,10/25/2016 01:40:00 PM,High,ED,ARSON,1000 VALLEY ST,21202,Johnston Square,Eastern,311,12,D5,Greenmount East,Census Tract 1001,,"1000 VALLEY ST
BALTIMORE, MD
(39.301748, -76.604905)"
2669011,P161940215,07/12/2016 01:41:00 AM,High,NE,ARSON,RAVENWOOD AV/CHESTERFIELD AV,21213,Belair-Edison,Northeastern,432,13,D6,Belair-Edison,Census Tract 2603.02,,"RAVENWOOD AV
BALTIMORE, MD"
6043486,P190781484,03/19/2019 10:23:00 AM,High,SD,ARSON,100 E PATAPSCO AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"100 E PATAPSCO AV
BALTIMORE, MD
(39.238464, -76.609298)"
2745442,P161683586,06/16/2016 11:51:00 PM,High,ND,ARSON,1000 CEDARCROFT RD,21212,Lake Walker,Northern,522,4,D2,Chinquapin Park/Belvedere,Census Tract 2708.04,,"1000 CEDARCROFT RD
BALTIMORE, MD
(39.369722, -76.601216)"
1948223,P170852667,03/26/2017 11:25:00 PM,High,WD,ARSON,0 GORMAN AV,21223,Penrose/Fayette Street Outreach,Western,714,9,D8,Southwest Baltimore,Census Tract 2002,,"0 GORMAN AV
BALTIMORE, MD"
1962067,P170802988,03/21/2017 10:45:00 PM,High,SW,ARSON,0 BENKERT AV,21229,Saint Josephs,Southwestern,842,8,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.02,,"0 BENKERT AV
BALTIMORE, MD"
249323,P183390631,12/05/2018 08:47:00 AM,High,SD,ARSON,3500 6TH ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"3500 6TH ST
BALTIMORE, MD
(39.238436, -76.601224)"
525034,P182391096,08/27/2018 11:53:00 AM,High,SD,ARSON,400 E JEFFREY ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"400 E JEFFREY ST
BALTIMORE, MD
(39.234159, -76.60697)"
1639623,P171901318,07/09/2017 01:57:00 PM,High,SD,ARSON,700 CHERRY HILL RD,21225,Cherry Hill,Southern,922,10,D7,Cherry Hill,Census Tract 2502.03,,"700 CHERRY HILL RD
BALTIMORE, MD
(39.249668, -76.623706)"
3054171,P160670263,03/07/2016 02:50:00 AM,High,NW,ARSON,W NORTHERN PY/WABASH AV,21215,Reisterstown Station,Northwestern,631,5,D1,Howard Park/West Arlington,Census Tract 2801.02,,"W NORTHERN PY
BALTIMORE, MD"
3289892,P153443369,12/10/2015 10:36:00 PM,High,SE,ARSON,E FAYETTE ST/N BROADWAY,21231,Washington Hill,Southeastern,212,12,D7,Oldtown/Middle East,Census Tract 301,,"E N FAYETTE ST
BALTIMORE, MD"
3845555,P151630190,06/12/2015 01:36:00 AM,Low,WD,ARSON,W NORTH AV/RETREAT ST,21217,Penn North,Western,733,7,D9,Greater Mondawmin,Census Tract 1501,Western,"W NORTH AV
BALTIMORE, MD"
2527869,P162403417,08/27/2016 11:34:00 PM,High,NE,ARSON,1000 ARMISTEAD WY,21205,Armistead Gardens,Northeastern,433,2,D6,Claremont/Armistead,Census Tract 2604.01,,"1000 ARMISTEAD WY
BALTIMORE, MD
(39.303864, -76.548596)"
3056586,P160660326,03/06/2016 02:47:00 AM,High,NW,ARSON,3100 SUMTER AV,21215,Central Park Heights,Northwestern,614,6,D1,Southern Park Heights,Census Tract 2716,,"3100 SUMTER AV
BALTIMORE, MD
(39.34225, -76.667125)"
3659533,P152212663,08/09/2015 08:20:00 PM,Low,SE,ARSON,300 BLK N ELLWOOD AV,21224,Ellwood Park/Monument,Southeastern,224,13,D5,Patterson Park North & East,Census Tract 601,,"300 BLK N ELLWOOD AV
BALTIMORE, MD
(39.295552, -76.573545)"
