RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
8340099,P202860943,10/12/2020 06:18:00 AM,Medium,SW,ASSAULT,2800 BAKER ST,21216,Northwest Community Action,Southwestern,813,9,D9,Greater Rosemont,Census Tract 1607,,"2800 BAKER ST
BALTIMORE, MD
(39.306032, -76.663839)"
8202005,P202521984,09/08/2020 12:51:00 PM,High,SW,ASSAULT,3300 CLIFTON AV,21216,Walbrook,Southwestern,811,7,D9,Greater Mondawmin,Census Tract 1507.02,,"3300 CLIFTON AV
BALTIMORE, MD
(39.311048, -76.672608)"
7198590,P192602066,09/17/2019 02:06:00 PM,Medium,SE,ASSAULT,300 HERRING CT,21231,Perkins Homes,Southeastern,211,12,D7,Harbor East/Little Italy,Census Tract 301,,"300 HERRING CT
BALTIMORE, MD
(39.287557, -76.595083)"
7144195,P191274466,05/07/2019 08:51:00 PM,Medium,SD,ASSAULT,4100 GRACE CT,21226,Curtis Bay,Southern,911,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,,"4100 GRACE CT
BALTIMORE, MD
(39.22832, -76.587577)"
405674,P182812686,10/08/2018 08:01:00 PM,Medium,WD,ASSAULT,W NORTH AV/PENNSYLVANIA AV,21217,Penn North,Western,733,7,D9,Penn North/Reservoir Hill,Census Tract 1501,Western,"W NORTH AV
BALTIMORE, MD"
1477102,P172472159,09/04/2017 07:27:00 PM,Medium,ED,ASSAULT,2500 E MONUMENT ST,21205,McElderry Park,Southeastern,221,13,D5,Madison/East End,Census Tract 702,Eastern2,"2500 E MONUMENT ST
BALTIMORE, MD
(39.298843, -76.582305)"
672188,P181872210,07/06/2018 06:13:00 PM,Medium,CD,ASSAULT,E LOMBARD ST/LIGHT ST,21202,Downtown West,Central,113,11,D7,Downtown/Seton Hill,Census Tract 401,,"E LOMBARD ST
BALTIMORE, MD"
3968399,P151210990,05/01/2015 12:36:00 PM,Medium,SW,ASSAULT,3400 BLK WILKENS AV,21229,Saint Agnes,Southwestern,832,10,D10,Morrell Park/Violetville,Census Tract 2501.03,,"3400 BLK WILKENS AV
BALTIMORE, MD
(39.272941, -76.674139)"
1314830,P173062829,11/02/2017 09:21:00 PM,Medium,SW,ASSAULT,WESTWOOD AV/N LONGWOOD ST,21216,Northwest Community Action,Southwestern,813,7,D9,Greater Rosemont,Census Tract 1506,,"N WESTWOOD AV
BALTIMORE, MD"
1570810,P172140867,08/02/2017 10:11:00 AM,Medium,NW,ASSAULT,2900 WYNHAM RD,21216,West Forest Park,Northwestern,641,8,D9,Forest Park/Walbrook,Census Tract 2803.02,,"2900 WYNHAM RD
BALTIMORE, MD
(39.319479, -76.693679)"
1794282,P171390245,05/19/2017 02:24:00 AM,High,ED,ASSAULT,2800 E BIDDLE ST,21213,Biddle Street,Eastern,323,13,D5,Clifton-Berea,Census Tract 803.02,,"2800 E BIDDLE ST
BALTIMORE, MD
(39.3049, -76.578426)"
2303434,P163181698,11/13/2016 04:35:00 PM,High,ND,ASSAULT,2800 W GARRISON AV,21215,Cylburn,Northern,532,6,D2,Pimlico/Arlington/Hilltop,Census Tract 2717,,"2800 W GARRISON AV
BALTIMORE, MD
(39.349764, -76.665864)"
2349718,P163013171,10/27/2016 11:30:00 PM,Medium,CD,ASSAULT,1100 BOLTON ST,21201,Madison Park,Central,132,11,D8,Upton/Druid Heights,Census Tract 1702,,"1100 BOLTON ST
BALTIMORE, MD
(39.30354, -76.62265)"
2452062,P162661326,09/22/2016 11:55:00 AM,Medium,SD,ASSAULT,500 ARSAN AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"500 ARSAN AV
BALTIMORE, MD
(39.239429, -76.602318)"
3595132,P152420483,08/30/2015 03:10:00 AM,High,SE,ASSAULT,3900 BLK E LOMBARD ST,21224,Baltimore Highlands,Southeastern,223,2,D6,Highlandtown,Census Tract 2608,,"3900 BLK E LOMBARD ST
BALTIMORE, MD
(39.291516, -76.564117)"
