RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
7473464,P200581953,02/27/2020 11:28:00 AM,High,SD,BURGLARY,2500 MARBOURNE AV,21230,Lakeland,Southern,923,10,D7,Westport/Mount Winans/Lakeland,Census Tract 2502.05,,"2500 MARBOURNE AV
BALTIMORE, MD
(39.253913, -76.649276)"
7473362,P200581746,02/27/2020 10:33:00 AM,High,SE,BURGLARY,200 S BOULDIN ST,21224,Highlandtown,Southeastern,231,1,D6,Patterson Park North & East,Census Tract 2610,,"200 S BOULDIN ST
BALTIMORE, MD
(39.289833, -76.570968)"
7473267,P200581660,02/27/2020 10:10:00 AM,High,ED,BURGLARY,2400 BRENTWOOD AV,21218,Barclay,Eastern,341,12,D2,Greater Charles Village/Barclay,Census Tract 1203,,"2400 BRENTWOOD AV
BALTIMORE, MD
(39.316325, -76.610403)"
6693363,P192850884,10/12/2019 05:17:00 AM,High,NE,BURGLARY,WELLBRIDGE DR/LAURELTON AV,21234,Hamilton Hills,Northeastern,423,3,D4,Harford/Echodale,Census Tract 2707.03,,"WELLBRIDGE DR
BALTIMORE, MD"
6694117,P192851723,10/12/2019 11:41:00 AM,High,SW,BURGLARY,500 S BENTALOU ST,21223,Millhill,Southwestern,841,9,D8,Southwest Baltimore,Census Tract 2005,Tri-District,"500 S BENTALOU ST
BALTIMORE, MD
(39.281338, -76.652487)"
6694021,P192851614,10/12/2019 11:09:00 AM,High,CD,BURGLARY,900 PENNSYLVANIA AV,21201,Heritage Crossing,Central,121,11,D8,Upton/Druid Heights,Census Tract 1703,Central,"900 PENNSYLVANIA AV
BALTIMORE, MD
(39.296611, -76.626106)"
6700101,P192870120,10/14/2019 12:36:00 AM,High,CD,BURGLARY,W MADISON ST/LINDEN AV,21201,Mount Vernon,Central,142,11,D8,Downtown/Seton Hill,Census Tract 1701,,"W MADISON ST
BALTIMORE, MD"
6703483,P192873665,10/14/2019 09:03:00 PM,High,SE,BURGLARY,3100 O DONNELL ST,21224,Canton,Southeastern,232,1,D6,Canton,Census Tract 101,,"3100 O DONNELL ST
BALTIMORE, MD
(39.280303, -76.572405)"
6697564,P192861149,10/13/2019 08:58:00 AM,High,SW,BURGLARY,2700 WINCHESTER ST,21216,Winchester,Southwestern,814,9,D9,Greater Rosemont,Census Tract 1607,,"2700 WINCHESTER ST
BALTIMORE, MD
(39.301472, -76.661937)"
6694743,P192852350,10/12/2019 03:04:00 PM,High,CD,BURGLARY,1500 MADISON AV,21217,Madison Park,Central,132,11,D8,Upton/Druid Heights,Census Tract 1402,,"1500 MADISON AV
BALTIMORE, MD
(39.304842, -76.629112)"
6704358,P192880460,10/15/2019 02:37:00 AM,High,CD,BURGLARY,900 ST PAUL ST,21202,Mount Vernon,Central,142,12,D8,Midtown,Census Tract 1101,,"900 ST PAUL ST
BALTIMORE, MD
(39.299701, -76.614225)"
8054768,P202133277,07/31/2020 07:38:00 PM,High,ND,BURGLARY,1100 GLENEAGLE RD,21239,Glen Oaks,Northern,522,4,D3,Loch Raven,Census Tract 2708.02,,"1100 GLENEAGLE RD
BALTIMORE, MD
(39.363744, -76.595971)"
8054804,P202133460,07/31/2020 08:23:00 PM,High,CD,BURGLARY,600 N EUTAW ST,21201,Seton Hill,Central,143,11,D8,Downtown/Seton Hill,Census Tract 1701,,"600 N EUTAW ST
BALTIMORE, MD
(39.295864, -76.621328)"
8054981,P202133620,07/31/2020 09:10:00 PM,High,NE,BURGLARY,3000 KENYON AV,21213,Belair-Edison,Northeastern,432,13,D5,Belair-Edison,Census Tract 2603.01,Northeastern,"3000 KENYON AV
BALTIMORE, MD
(39.324894, -76.568657)"
6704498,P192880611,10/15/2019 03:48:00 AM,High,SE,BURGLARY,500 BLK N PORT ST,21205,McElderry Park,Southeastern,221,13,D5,Madison/East End,Census Tract 702,,"500 BLK N PORT ST
BALTIMORE, MD
(39.297023, -76.582897)"
6697550,P192861089,10/13/2019 08:31:00 AM,High,NW,BURGLARY,4300 AYRDALE AV,21215,Dolfield,Northwestern,643,6,D1,Dorchester/Ashburton,Census Tract 1511,,"4300 AYRDALE AV
BALTIMORE, MD
(39.337036, -76.679007)"
6697492,P192861051,10/13/2019 08:14:00 AM,High,SE,BURGLARY,500 S BOND ST,21231,Fells Point,Southeastern,213,1,D7,Fells Point,Census Tract 203,,"500 S BOND ST
BALTIMORE, MD
(39.285324, -76.595326)"
6703681,P192873894,10/14/2019 10:37:00 PM,High,WD,BURGLARY,1500 N SMALLWOOD ST,21216,Coppin Heights/Ash-Co-East,Western,723,7,D9,Greater Rosemont,Census Tract 1503,,"1500 N SMALLWOOD ST
BALTIMORE, MD
(39.305497, -76.65245)"
8055216,P202133733,07/31/2020 09:51:00 PM,High,SE,BURGLARY,300 HERRING CT,21231,Perkins Homes,Southeastern,211,12,D7,Harbor East/Little Italy,Census Tract 301,,"300 HERRING CT
BALTIMORE, MD
(39.287557, -76.595083)"
6693452,P192850987,10/12/2019 06:54:00 AM,High,ND,BURGLARY,800 HOMESTEAD ST,21218,Better Waverly,Northern,513,14,D5,The Waverlies,Census Tract 905,,"800 HOMESTEAD ST
BALTIMORE, MD
(39.326114, -76.605739)"
