RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
8408525,P203012535,10/27/2020 01:05:00 PM,Low,WD,GAMBLING,1600 PRESSTMAN ST,21217,Sandtown-Winchester,Western,742,7,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,,"1600 PRESSTMAN ST
BALTIMORE, MD
(39.305357, -76.644222)"
8410456,P203014558,10/27/2020 09:59:00 PM,Low,ED,GAMBLING,1300 BLK N EDEN ST,21213,Oliver,Eastern,343,12,D5,Greenmount East,Census Tract 1001,,"1300 BLK N EDEN ST
BALTIMORE, MD
(39.305142, -76.59957)"
8409805,P203013933,10/27/2020 06:52:00 PM,Low,SD,GAMBLING,1200 W CROSS ST,21230,Washington Village/Pigtown,Southern,932,10,D7,Washington Village/Pigtown,Census Tract 2102,,"1200 W CROSS ST
BALTIMORE, MD
(39.281995, -76.631387)"
8408640,P203012628,10/27/2020 01:35:00 PM,Low,SD,GAMBLING,3600 S HANOVER ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"3600 S HANOVER ST
BALTIMORE, MD
(39.238325, -76.609667)"
8403879,P203002117,10/26/2020 12:20:00 PM,Low,SW,GAMBLING,400 BLK S BENTALOU ST,21223,Carrollton Ridge,Southwestern,841,9,D8,Southwest Baltimore,Census Tract 2005,Tri-District,"400 BLK S BENTALOU ST
BALTIMORE, MD"
8403734,P203001940,10/26/2020 11:27:00 AM,Low,NE,GAMBLING,MILTON LN/FLEETWOOD AV,21214,Westfield,Northeastern,424,3,D4,Hamilton,Census Tract 2705.02,,"MILTON LN
BALTIMORE, MD"
8397123,P202984075,10/24/2020 08:30:00 PM,Low,NE,GAMBLING,4100 FRANKFORD AV,21206,Waltherson,Northeastern,426,2,D4,Hamilton,Census Tract 2704.01,,"4100 FRANKFORD AV
BALTIMORE, MD
(39.339116, -76.55216)"
8391711,P202973508,10/23/2020 04:44:00 PM,Low,ED,GAMBLING,900 N EDEN ST,21205,Oldtown,Eastern,313,12,D5,Oldtown/Middle East,Census Tract 1002,,"900 N EDEN ST
BALTIMORE, MD
(39.300425, -76.599283)"
8387767,P202964092,10/22/2020 08:22:00 PM,Low,SD,GAMBLING,WILHELM ST/GOLDSMITH ST,21223,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 2003,Tri-District,"WILHELM ST
BALTIMORE, MD"
8386962,P202963273,10/22/2020 05:23:00 PM,Low,SW,GAMBLING,FREDERICK AV/LONG ISLAND AV,21229,Ten Hills,Southwestern,823,8,D10,Beechfield/Ten Hills/West Hills,Census Tract 2501.01,,"FREDERICK AV
BALTIMORE, MD"
8386877,P202963188,10/22/2020 05:03:00 PM,Low,CD,GAMBLING,2000 LINDEN AV,21217,Reservoir Hill,Central,133,7,D2,Penn North/Reservoir Hill,Census Tract 1302,,"2000 LINDEN AV
BALTIMORE, MD
(39.311176, -76.633022)"
8386629,P202962977,10/22/2020 04:11:00 PM,Low,CD,GAMBLING,2000 LINDEN AV,21217,Reservoir Hill,Central,133,7,D2,Penn North/Reservoir Hill,Census Tract 1302,,"2000 LINDEN AV
BALTIMORE, MD
(39.311176, -76.633022)"
8102927,P202262424,08/13/2020 05:05:00 PM,Low,CD,GAMBLING,1500 PENNSYLVANIA AV,21217,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1402,Central,"1500 PENNSYLVANIA AV
BALTIMORE, MD
(39.301922, -76.632707)"
8096557,P202243315,08/11/2020 08:07:00 PM,Low,ND,GAMBLING,500 BLK TUNBRIDGE RD,21212,Homeland,Northern,523,4,D2,North Baltimore/Guilford/Homeland,Census Tract 2708.05,,"500 BLK TUNBRIDGE RD
BALTIMORE, MD
(39.356441, -76.609876)"
8098795,P202252012,08/12/2020 01:42:00 PM,Low,WD,GAMBLING,1100 LAURENS ST,21217,Sandtown-Winchester,Western,743,7,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,Central,"1100 LAURENS ST
BALTIMORE, MD
(39.303446, -76.63685)"
8099228,P202252470,08/12/2020 04:12:00 PM,Low,NE,GAMBLING,3200 BLK CLIFTMONT AV,21213,Belair-Edison,Northeastern,434,13,D5,Belair-Edison,Census Tract 801.02,,"3200 BLK CLIFTMONT AV
BALTIMORE, MD
(39.318976, -76.573874)"
