RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
8407170,P203011106,10/27/2020 05:13:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8395497,P202982412,10/24/2020 01:14:00 PM,Low,SD,PROSTITUTION,0TH ST/WASHBURN AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"0TH ST
BALTIMORE, MD"
8393184,P202974962,10/23/2020 10:45:00 PM,Low,ED,PROSTITUTION,600 ST ANNS AV,21218,East Baltimore Midway,Eastern,342,12,D5,Midway/Coldstream,Census Tract 908,,"600 ST ANNS AV
BALTIMORE, MD
(39.318194, -76.606664)"
8392704,P202974575,10/23/2020 08:49:00 PM,Low,SE,PROSTITUTION,S CONKLING ST/E PRATT ST,21224,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,,"S E CONKLING ST
BALTIMORE, MD"
8385806,P202962018,10/22/2020 11:30:00 AM,Low,SE,PROSTITUTION,GRACELAND AV/BETHLEHEM AV,21224,Graceland Park,Southeastern,243,1,D6,Southeastern,Census Tract 2606.05,,"GRACELAND AV
BALTIMORE, MD"
8382078,P202952891,10/21/2020 03:28:00 PM,Low,SD,PROSTITUTION,0TH ST/WASHBURN AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"0TH ST
BALTIMORE, MD"
8383870,P202960286,10/22/2020 12:54:00 AM,Low,ND,PROSTITUTION,N CALVERT ST/E 0RD ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"N E CALVERT ST
BALTIMORE, MD"
8384257,P202960336,10/22/2020 01:05:00 AM,Low,ND,PROSTITUTION,N CALVERT ST/E 0RD ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"N E CALVERT ST
BALTIMORE, MD"
8381795,P202952620,10/21/2020 01:35:00 PM,Low,NE,PROSTITUTION,5800 PULASKI HY,21205,Pulaski Industrial Area,Southeastern,241,2,D6,Orangeville/East Highlandtown,Census Tract 2604.04,,"5800 PULASKI
HY BALTIMORE, MD
(39.301738, -76.548688)"
8378713,P202944229,10/20/2020 07:56:00 PM,Low,SE,PROSTITUTION,E PRATT ST/S PATTERSON PARK AV,21224,Butcher's Hill,Southeastern,212,1,D6,Fells Point,Census Tract 103,,"E S PRATT ST
BALTIMORE, MD"
8381883,P202952672,10/21/2020 02:36:00 PM,Low,NW,PROSTITUTION,4000 PRIMROSE AV,21215,Glen,Northwestern,632,5,D1,Glen-Fallstaff,Census Tract 2719,,"4000 PRIMROSE AV
BALTIMORE, MD
(39.351504, -76.692748)"
8369099,P202923696,10/18/2020 07:00:00 PM,Low,SE,PROSTITUTION,E PRATT ST/S CONKLING ST,21224,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,,"E S PRATT ST
BALTIMORE, MD"
8373042,P202933252,10/19/2020 04:41:00 PM,Low,SE,PROSTITUTION,GRACELAND AV/BETHLEHEM AV,21224,Graceland Park,Southeastern,243,1,D6,Southeastern,Census Tract 2606.05,,"GRACELAND AV
BALTIMORE, MD"
8384855,P202961001,10/22/2020 04:03:00 AM,Low,SW,PROSTITUTION,VIOLETVILLE ELEM MIDDLE,21229,Violetville,Southwestern,832,10,D10,Morrell Park/Violetville,Census Tract 2501.03,,"VIOLETVILLE ELEM MIDDLE BALTIMORE, MD"
8366587,P202920990,10/18/2020 03:50:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8372645,P202932615,10/19/2020 02:05:00 PM,Low,SE,PROSTITUTION,S CONKLING ST/GOUGH ST,21224,Highlandtown,Southeastern,231,2,D6,Highlandtown,Census Tract 2608,,"S CONKLING ST
BALTIMORE, MD"
8380996,P202951663,10/21/2020 09:46:00 AM,Low,SE,PROSTITUTION,S CONKLING ST/E PRATT ST,21224,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,,"S E CONKLING ST
BALTIMORE, MD"
8381094,P202951780,10/21/2020 10:23:00 AM,Low,SD,PROSTITUTION,0TH ST/WASHBURN AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"0TH ST
BALTIMORE, MD"
8358710,P202902080,10/16/2020 10:39:00 AM,Low,SD,PROSTITUTION,3800 BLK 4TH ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"3800 BLK 4TH ST
BALTIMORE, MD
(39.234672, -76.606712)"
8329491,P202833476,10/09/2020 06:01:00 PM,Low,SE,PROSTITUTION,S CONKLING ST/E PRATT ST,21224,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,,"S E CONKLING ST
BALTIMORE, MD"
8357755,P202901072,10/16/2020 04:44:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8329164,P202834337,10/09/2020 09:46:00 PM,Low,SE,PROSTITUTION,GRACELAND AV/BETHLEHEM AV,21224,Graceland Park,Southeastern,243,1,D6,Southeastern,Census Tract 2606.05,,"GRACELAND AV
BALTIMORE, MD"
8336816,P202851465,10/11/2020 09:37:00 AM,Low,SE,PROSTITUTION,1200 DUNDALK AV,21222,Graceland Park,Southeastern,243,1,D6,Southeastern,Census Tract 2606.05,,"1200 DUNDALK AV
BALTIMORE, MD
(39.279912, -76.534666)"
8337244,P202851909,10/11/2020 12:33:00 PM,Low,SD,PROSTITUTION,E JEFFREY ST/0TH ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"E JEFFREY ST
BALTIMORE, MD"
8340761,P202861828,10/12/2020 11:59:00 AM,Medium,SD,PROSTITUTION,0TH ST/WASHBURN AV,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"0TH ST
BALTIMORE, MD"
8332613,P202841496,10/10/2020 09:30:00 AM,Low,SE,PROSTITUTION,1600 DUNDALK AV,21222,Graceland Park,Southeastern,243,1,D6,Southeastern,Census Tract 2606.05,,"1600 DUNDALK AV
BALTIMORE, MD
(39.275344, -76.532518)"
8328876,P202832622,10/09/2020 02:03:00 PM,Low,SD,PROSTITUTION,400 BLK E JEFFREY ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"400 BLK E JEFFREY ST
BALTIMORE, MD
(39.234159, -76.60697)"
8357784,P202901104,10/16/2020 04:58:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8354126,P202892475,10/15/2020 12:54:00 PM,Medium,SD,PROSTITUTION,3800 4TH AV,21226,Fairfield Area,Southern,912,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2506,,"3800 4TH AV
BALTIMORE, MD
(39.229751, -76.568969)"
8334094,P202843019,10/10/2020 05:11:00 PM,Low,SD,PROSTITUTION,300-400 E JEFFREY ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,"300 400 E JEFFREY ST
BALTIMORE, MD
(39.234658, -76.608603)"
8357727,P202901107,10/16/2020 04:58:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8333672,P202842622,10/10/2020 03:40:00 PM,Low,SD,PROSTITUTION,3800 BLK 4TH AV,21226,Fairfield Area,Southern,912,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2506,,"3800 BLK 4TH AV
BALTIMORE, MD
(39.353813, -76.691874)"
8326640,P202830297,10/09/2020 12:49:00 AM,Low,ND,PROSTITUTION,E 0RD ST/N CALVERT ST,21218,Barclay,Northern,514,12,D2,Greater Charles Village/Barclay,Census Tract 1204,,"E N 0RD ST
BALTIMORE, MD"
8334803,P202843788,10/10/2020 08:28:00 PM,Low,NW,PROSTITUTION,3600 BLK FAIRVIEW AV,21216,Forest Park,Northwestern,642,6,D9,Forest Park/Walbrook,Census Tract 1508,,"3600 BLK FAIRVIEW AV
BALTIMORE, MD
(39.322893, -76.678079)"
8328261,P202833426,10/09/2020 05:46:00 PM,Low,SE,PROSTITUTION,S CONKLING ST/E PRATT ST,21224,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,,"S E CONKLING ST
BALTIMORE, MD"
8327827,P202831137,10/09/2020 05:02:00 AM,Low,ED,PROSTITUTION,200 N GAY ST,21202,Jonestown,Southeastern,211,12,D7,Oldtown/Middle East,Census Tract 2805,,"200 N GAY ST
BALTIMORE, MD
(39.292793, -76.608551)"
8337145,P202851866,10/11/2020 12:12:00 PM,Low,ED,PROSTITUTION,1300 BLK CLIFTVIEW AV,21218,East Baltimore Midway,Eastern,342,12,D5,Midway/Coldstream,Census Tract 908,Eastern1,"1300 BLK CLIFTVIEW AV
BALTIMORE, MD
(39.316277, -76.597082)"
