RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location
8410589,P203014693,10/27/2020 11:12:00 PM,High,ED,SHOOTING,1500 BLK HARFORD AV,21202,Oliver,Eastern,343,12,D5,Greenmount East,Census Tract 909,Eastern1,"1500 BLK HARFORD AV
BALTIMORE, MD
(39.307666, -76.600714)"
8410462,P203014600,10/27/2020 10:26:00 PM,High,ED,SHOOTING,700 N ROSE ST,21205,Milton-Montford,Eastern,323,13,D5,Madison/East End,Census Tract 702,Eastern2,"700 N ROSE ST
BALTIMORE, MD
(39.299295, -76.581617)"
8404851,P203003169,10/26/2020 05:21:00 PM,High,SW,SHOOTING,500 S BENTALOU ST,21223,Carrollton Ridge,Southwestern,841,9,D8,Southwest Baltimore,Census Tract 2005,Tri-District,"500 S BENTALOU ST
BALTIMORE, MD
(39.281338, -76.652487)"
8403835,P203001952,10/26/2020 11:33:00 AM,High,SW,SHOOTING,1800 BLK BLOOMINGDALE RD,21216,Rosemont,Southwestern,813,7,D9,Greater Rosemont,Census Tract 1506,,"1800 BLK BLOOMINGDALE RD
BALTIMORE, MD"
8409750,P203013842,10/27/2020 06:33:00 PM,High,WD,SHOOTING,1400 W NORTH AV,21217,Penn North,Western,733,7,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,"1400 W NORTH AV
BALTIMORE, MD
(39.310131, -76.641246)"
8405886,P203004230,10/26/2020 09:39:00 PM,High,NE,SHOOTING,3000 CLIFTON PARK TE,21213,Belair-Edison,Northeastern,432,13,D5,Belair-Edison,Census Tract 801.01,,"3000 CLIFTON PARK
TE BALTIMORE, MD
(39.321422, -76.575386)"
8401319,P202993551,10/25/2020 07:18:00 PM,High,SE,SHOOTING,6600 HOLABIRD AV,21224,Broening Manor,Southeastern,243,1,D7,Southeastern,Census Tract 2606.05,,"6600 HOLABIRD AV
BALTIMORE, MD
(39.272449, -76.53367)"
8395901,P202982705,10/24/2020 02:55:00 PM,High,CD,SHOOTING,200 #ER,21201,University Of Maryland,Central,121,11,D8,Downtown/Seton Hill,Census Tract 402,,"200 ER
BALTIMORE, MD"
8395931,P202982708,10/24/2020 02:56:00 PM,High,CD,SHOOTING,0 S GREENE ST,21201,University Of Maryland,Central,121,11,D8,Downtown/Seton Hill,Census Tract 402,,"0 S GREENE ST
BALTIMORE, MD"
8395681,P202982474,10/24/2020 01:34:00 PM,High,SD,SHOOTING,1800 EAGLE ST,21223,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 1903,,"1800 EAGLE ST
BALTIMORE, MD
(39.281018, -76.644924)"
8395659,P202982484,10/24/2020 01:35:00 PM,High,SD,SHOOTING,1800 BLK EAGLE ST,21223,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 1903,,"1800 BLK EAGLE ST
BALTIMORE, MD
(39.281018, -76.644924)"
8395241,P202982105,10/24/2020 11:36:00 AM,High,ND,SHOOTING,H0,21218,Charles Village,Northern,512,14,D2,Greater Charles Village/Barclay,Census Tract 1202.02,,
8394241,P202981045,10/24/2020 04:42:00 AM,High,ED,SHOOTING,1500 LESTER MORTON CT,21287,Gay Street,Eastern,313,12,D5,Oldtown/Middle East,Census Tract 704,,"1500 LESTER MORTON CT
BALTIMORE, MD
(39.298952, -76.597626)"
8394386,P202981038,10/24/2020 04:42:00 AM,High,ED,SHOOTING,1500 E MADISON ST,21205,Gay Street,Eastern,313,12,D5,Oldtown/Middle East,Census Tract 704,,"1500 E MADISON ST
BALTIMORE, MD
(39.299324, -76.597473)"
8393309,P202975048,10/23/2020 11:23:00 PM,High,ND,SHOOTING,YORK RD/SHERIDAN AV,21212,Woodbourne-McCabe,Northern,524,4,D2,Greater Govans,Census Tract 2710.02,,"YORK RD
BALTIMORE, MD"
8393033,P202974846,10/23/2020 10:07:00 PM,High,CD,SHOOTING,0 S GREENE ST,21201,University Of Maryland,Central,121,11,D8,Downtown/Seton Hill,Census Tract 402,,"0 S GREENE ST
BALTIMORE, MD"
8392910,P202974744,10/23/2020 09:39:00 PM,High,SD,SHOOTING,1600 BLK CYPRESS ST,21226,Curtis Bay,Southern,911,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,,"1600 BLK CYPRESS ST
BALTIMORE, MD
(39.223729, -76.588302)"
8392838,P202974645,10/23/2020 09:12:00 PM,High,SD,SHOOTING,3800 10TH ST,21225,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,Brooklyn,"3800 10TH ST
BALTIMORE, MD
(39.232207, -76.596871)"
8392861,P202974628,10/23/2020 09:07:00 PM,High,SD,SHOOTING,3000 S HANOVER ST,21225,Middle Branch/Reedbird Parks,Southern,922,10,D7,Cherry Hill,Census Tract 2502.03,,"3000 S HANOVER ST
BALTIMORE, MD
(39.250727, -76.614528)"
8392803,P202974507,10/23/2020 08:40:00 PM,High,ED,SHOOTING,1600 NORMAL AV,21218,Darley Park,Eastern,342,14,D5,Clifton-Berea,Census Tract 805,Eastern1,"1600 NORMAL AV
BALTIMORE, MD
(39.316016, -76.595373)"
8392725,P202974544,10/23/2020 08:44:00 PM,High,ED,SHOOTING,JOHNS HOPKINS ER,21287,Dunbar-Broadway,Eastern,321,13,D5,Oldtown/Middle East,Census Tract 604,,"JOHNS HOPKINS ER BALTIMORE, MD
(39.541065, -77.228931)"
8392571,P202974250,10/23/2020 07:34:00 PM,High,ND,SHOOTING,NORTHERN DISTRICT,21209,Coldspring,Northern,533,6,D2,Mount Washington/Coldspring,Census Tract 1308.05,,"NORTHERN DISTRICT BALTIMORE, MD
(39.664299, -77.683098)"
8387393,P202963775,10/22/2020 07:14:00 PM,High,ED,SHOOTING,1700 BLK N REGESTER ST,21213,Broadway East,Eastern,331,12,D5,Greenmount East,Census Tract 806,Eastern1,"1700 BLK N REGESTER ST
BALTIMORE, MD
(39.30996, -76.594009)"
8387420,P202963673,10/22/2020 06:51:00 PM,High,CD,SHOOTING,0 S GREENE ST,21201,University Of Maryland,Central,121,11,D8,Downtown/Seton Hill,Census Tract 402,,"0 S GREENE ST
BALTIMORE, MD"
8387396,P202963646,10/22/2020 06:45:00 PM,High,WD,SHOOTING,W BALTIMORE ST/N GILMOR ST,21223,Franklin Square,Western,711,9,D8,Southwest Baltimore,Census Tract 1902,Tri-District,"W N BALTIMORE ST
BALTIMORE, MD"
8384574,P202960617,10/22/2020 01:54:00 AM,High,ED,SHOOTING,1400 KENHILL AV,21213,Berea,Eastern,332,13,D5,Clifton-Berea,Census Tract 803.02,,"1400 KENHILL AV
BALTIMORE, MD
(39.307063, -76.577572)"
8377504,P202942946,10/20/2020 03:07:00 PM,High,WD,SHOOTING,1400 MOSHER ST,21217,Sandtown-Winchester,Western,743,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1602,Central,"1400 MOSHER ST
BALTIMORE, MD
(39.300063, -76.640314)"
8383181,P202953944,10/21/2020 07:24:00 PM,High,CD,SHOOTING,0 S GREENE ST,21201,University Of Maryland,Central,121,11,D8,Downtown/Seton Hill,Census Tract 402,,"0 S GREENE ST
BALTIMORE, MD"
